day,Rain_Data,Temp_SoilDailyData,Temp_DailyPotEvap
151,7.777777778,26.00793333,3.082570555
152,15.20625,26.09895556,3.090682011
153,15.865,25.9226,3.025086875
154,11.825,25.94535556,3.033478884
155,13.85,25.89984444,3.016716112
156,12.78333333,26.17006667,3.117494557
157,9.7375,26.2554,3.149946032
158,9.005,26.14731111,3.108891788
159,15.14444444,26.08188889,3.084278094
160,11.975,25.93397778,3.029280222
161,15.075,26.11886667,3.09816845
162,12.43,25.96242222,3.039786843
163,18.38888889,25.97948889,3.046106771
164,7.43,25.97664444,3.045052618
165,3.144444444,26.11602222,3.097097956
166,1.31875,26.13877778,3.105671274
167,4.033333333,25.83157778,2.991731115
168,10.18571429,25.90268889,3.017761296
169,14.01666667,25.84864444,2.99795948
170,12.485,25.90553333,3.018806812
171,25.11,25.69788889,2.943353714
172,16.84375,25.89415556,3.014626738
173,9.00625,26.07904444,3.083211943
174,12.58333333,25.84864444,2.99795948
175,9.70625,25.74624444,2.96076779
176,24.72777778,25.5866,2.903636863
177,14.915,25.90553333,3.018806812
178,11.7,25.94251111,3.03242872
179,1.983333333,25.84295556,2.995882035
180,8.7,25.73202222,2.955636117
181,7.795,25.62108889,2.915891525
182,13.325,25.66944444,2.958011832
183,10.93888889,25.45924,2.883027233
184,16.055,25.4618,2.883929606
185,13.19375,25.63531111,2.945712933
186,12.775,25.48171111,2.890957162
187,16.33125,25.5514,2.915680737
188,2.844444444,25.69732,2.968091353
189,2.083333333,25.62308,2.941317437
190,6.705555556,25.81252,3.010085015
191,11.725,25.70756,2.971802039
192,8.561111111,25.69732,2.968091353
193,6.794444444,25.70756,2.971802039
194,8.116666667,25.76644,2.993222059
195,16.10555556,25.98233333,3.072984657
196,5.608333333,25.72348889,2.977582773
197,15.34444444,25.45412,2.881223286
198,5.527777778,25.64356,2.948680794
199,12.615,25.58212,2.92664219
200,13.335,25.8202,3.01290401
201,17.65625,25.84068,3.020433219
202,3.91875,25.63588,2.945917523
203,5.86875,25.6154,2.938560603
204,5.305555556,25.63076,2.944076684
205,4.05,25.52324,2.905666566
206,5.56,25.65892,2.954214582
207,9.825,25.81508,3.01102441
208,2.5625,25.68708,2.964384969
209,1.905555556,25.68196,2.96253339
210,1.142857143,25.52437778,2.906070552
211,1.322222222,25.33636,2.840026199
212,5.514285714,25.69732,2.968091353
213,2.635714286,25.4362,2.874917863
214,3.014285714,25.46948,2.886638324
215,2.27,25.58411111,2.927353984
216,3.527777778,25.6666,2.956985101
217,0.666666667,25.76132,2.991353792
218,0.457142857,25.69732,2.968091353
219,4.877777778,25.60004,2.933054171
220,3.078571429,25.7178,2.975517029
221,3.05,25.62564,2.942236918
222,4.172222222,25.66148,2.95513782
223,1.655,25.77412,2.996026482
224,4.145,25.75364,2.988553412
225,2.805555556,25.51044,2.901125356
226,0.185714286,25.53348,2.909304341
227,0.38125,25.55652,2.91750497
228,2.15,25.71524,2.974587878
229,0.925,25.75108,2.987620491
230,1.2,25.41828,2.868625484
231,3.761111111,25.37988,2.855185702
232,0.2,25.47972,2.89025368
233,0.016666667,25.64953333,2.950831675
234,0.471428571,25.61284,2.937642194
235,1.275,25.5898,2.929388575
236,0.166666667,25.77668,2.996961829
237,0.233333333,25.65124,2.951446481
238,4.044444444,25.6026,2.93397124
239,0.15,25.73828,2.982959928
240,1.6,25.8202,3.01290401
241,2.25,25.65892,2.954214582
242,0.561111111,25.5514,2.915680737
243,0.166666667,25.74596,2.985755458
244,5,25.76132,3.016491218
245,1.477777778,25.63588,2.970673133
246,1.605555556,25.71012,2.997711311
247,0.42,25.88164,3.061052325
248,0.23,25.73316,3.006148828
249,2.14375,25.7818,3.024033612
250,7.035,25.87424444,3.058295975
251,3.535,25.7946,3.028756447
252,2.294444444,25.6154,2.963254389
253,6.00625,25.59492,2.955852945
254,2.166666667,25.72548,3.00333388
255,0.05,25.7818,3.024033612
256,0.5,25.69732,2.993033297
257,1.1625,25.88164,3.061052325
258,1.777777778,25.85717778,3.051943863
259,5.728571429,26.04206667,3.121405786
260,0.142857143,26.18713333,3.176909189
261,0.5,26.13308889,3.156128072
262,0.557142857,26.1786,3.173619785
263,0,25.87424444,3.058295975
264,1.74375,25.80597778,3.032960234
265,1.5875,26.00793333,3.108474509
266,0.742857143,26.1018,3.14415305
267,0,25.81735556,3.0371694
268,0.94375,25.89984444,3.067846893
269,2.0875,26.14162222,3.159401129
270,0,26.17006667,3.170333448
271,0.577777778,26.217,3.188446269
272,0.2125,26.25284,3.202340433
273,0.95,26.10948,3.147088564
274,5.571428571,26.19652,3.233539928
275,7.54,26.40388,3.315849465
276,0,26.28356,3.267864439
277,0.522222222,26.36036,3.298421174
278,1.611111111,26.43716,3.329232146
279,4.85,26.38084,3.306612546
280,0.58,26.41156,3.31893353
281,2.644444444,26.3322,3.287187555
282,2.772222222,26.43972,3.330263565
283,0.25,26.4986,3.354064445
284,1.675,26.5498,3.374882923
285,0.055555556,26.60868,3.398964822
286,0,26.65476,3.417916674
287,1.666666667,26.67012,3.424254503
288,1.671428571,26.5242,3.364459477
289,1.366666667,26.4346,3.32820101
290,5.177777778,26.62916,3.407376458
291,0.9,26.62404,3.405271839
292,0,26.78788,3.473186535
293,0.58,26.71108,3.441205666
